Name,Credits,Grade,States Code,Description
Advanced Placement (AP) Human Geography,2.5 credits ,Elective Grades 10-12 [2820] One Semester,State Course Code [04004] ,PREREQUISITES: Minimum grade of B- in AP World History AND Teacher Recommendation; OR Minimum grade  of A- in Honors U.S. History I or Honors U.S. History II AND Teacher Recommendation;
French I,5 credits ,Elective Grades 9-12 [4413],State Course Code [06122],"This course will introduce students to the French language and culture, providing a focus on proficiency and comprehension in the skills of speaking, listening, reading, and writing French. Language acquisition"
French II,5 credits ,Elective Grades 9-12 [4423],State Course Code [06122] ,"PREREQUISITE: French I or French 8 Students will continue to develop proficiency in the three modes of communication (interpretive, interpersonal, and  presentational) in accordance with NJ Student Learning Standards at the appropriate level. Focusing"
French III,5 credits ,Elective Grades 10-12 [4433]    Honors [4441],State Course Code [06123] ,"PREREQUISITE: French II  PREREQUISITES FOR HONORS: Minimum grade of A- in French II AND Teacher Recommendation Working at the appropriate level, students continue to develop proficiency in the three modes of communication  (interpretive, interpersonal, and presentational) in accordance with"
Honors French IV,5 credits ,Elective Grades 11-12 [4440],State Course Code [06124] ,PREREQUISITES: Minimum grade of A- in French III AND Teacher Recommendation; OR Minimum grade of B-  in French III Honors OR Teacher Recommendation Relevant topics of contemporary and historic interest and literature are the
Advanced Placement (AP) French Language,5 credits ,Elective Grades 9-11 [4130],State Course Code [06301],"This course emphasizes the study of Latin focusing on the Interpretive, Interpersonal, and Presentational Modes,  in accordance with the NJ Student Learning Standards. The study of Latin, the foundation of"
Latin II,5 credits ,Elective Grades 9-12 [4623],State Course Code [06302] ,"PREREQUISITE: Latin I or Latin 8 This course continues the emphasis of Latin study with a deeper focus on the Interpretive, Interpersonal, and  Presentational Modes, in accordance with the NJ Student Learning Standards. The"
Latin III,5 credits ,Elective Grades 10-12 [4633],State Course Code [06303] ,"PREREQUISITE: Latin II In this course, the Interpretive, Interpersonal, and Presentational Modes, in accordance with the NJ Student  Learning Standards, are incorporated into all forms of assessments. Figures of speech and"
Honors Latin III,5 credits ,Elective Grades 10-12 [4631],State Course Code [06303] ,PREREQUISITE: Minimum grade of A- in Latin II AND Teacher Recommendation This course is for highly motivated students of Latin who will read authentic Latin literary selections with depth as  well as breadth. An understanding of figures
Honors Latin IV,5 credits ,Elective Grades 9-12 [4913],State Course Code [06401],"This course will introduce students to the Mandarin Chinese language and culture. Emphasis will be placed on  basic syntax, simple vocabulary, written characters, and spoken tones so that students can"
Mandarin Chinese II,5 credits ,Elective Grades 9-12,State Course Code,"[06402]  PREREQUISITE: Mandarin Chinese I or Mandarin Chinese 8 Students will continue to develop proficiency in the three modes of communication (interpretive, interpersonal, and  presentational) in accordance with the NJ Student Learning Standards at the"
Mandarin Chinese III,5 credits ,Elective Grades 9-12 [4933],State Course Code [06403] ,"PREREQUISITE: Mandarin Chinese II Students will broaden their proficiency in the three modes of communication (interpretive, interpersonal, and  presentational) in accordance with the NJ Student Learning Standards at the appropriate level. Focusing"
Honors Mandarin Chinese IV,5 credits ,Elective Grades 9-12 [4943],State Course Code [06404] ,"PREREQUISITE: Mandarin Chinese III Students will broaden their proficiency in the three modes of communication (interpretive, interpersonal, and  presentational) in accordance with the NJ Student Learning Standards at the appropriate level. Focusing"
Spanish I Fundamentals,5 credits ,Elective Grades 9-11 [4714],State Course Code [06101],"This course will address the needs of those students encountering difficulty in second language acquisition.  Employing varied instructional activities, including technology, that emphasize the basic listening, speaking,  reading, and writing"
Spanish I,5 credits ,Elective Grades 9-11 [4713],State Course Code [06101],This course is for students who have not previously taken Spanish courses. Students at this beginning level will  employ vocabulary and grammatical structures pertinent to a variety of personalized situations
Spanish II,5 credits,Elective Grades 9-12 [4723],State Course Code,"[06102] PREREQUISITE: Spanish I or Spanish 8 Students will continue to develop proficiency in the three modes of communication (interpretive, interpersonal, and  presentational) in accordance with NJ Student Learning Standards at the appropriate level,"
Spanish II Fundamentals,5 credits,Elective Grades 9-11 [4724],State Course Code,"[06102] PREREQUISITE: Spanish I Fundamentals or Spanish I Using the three modes of communication (interpretive, interpersonal, and presentational) in accordance with NJ  Student Learning Standards, this course will continue the instructional philosophy of the Spanish"
Honors Spanish II,5 credits ,Elective Grades 9-11 [4721],State Course Code [06102] ,"PREREQUISITES (Grade 9): Minimum grade of A- in Spanish 8, Passing Score on Qualifying Test, AND Teacher  Recommendation  PREREQUISITES (Grades 10-12): Minimum grade of A- in Spanish I AND Teacher Recommendation In this course, students will continue using"
Spanish III,5 credits ,Elective Grades 10-12 [4733],State Course Code [06103] ,"PREREQUISITE: Spanish II or Honors Spanish II Students will continue to develop proficiency in the three modes of communication (interpretive, interpersonal, and  presentational) in accordance with NJ Student Learning Standards at the appropriate level. Students"
Honors Spanish III,5 credits ,Elective Grades 10-12 [4731],State Course Code [06103] ,"PREREQUISITE: Minimum grade of A- in Spanish II AND Teacher Recommendation; OR Minimum grade of B- in  Honors Spanish II OR Teacher Recommendation Working at an appropriately faster pace, students will continue to"
Spanish IV,5 credits ,Elective Grades 11-12 [4743],State Course Code [06104] ,"Spanish IV is a continuation of Spanish III, striving to build stronger proficiency in the four skills areas of listening,  speaking, reading, and writing. Stronger emphasis will be placed on"
Honors Spanish IV,5 credits ,Elective Grades 11-12 [4741],State Course Code [06104] ,PREREQUISITE: Minimum grade of A- in Spanish III AND Teacher Recommendation; OR Minimum grade of B- in  Honors Spanish III OR Teacher Recommendation Students will further develop proficiency in the three modes of
Accounting,2.5 credits,Elective Grades 10-12 [8883],State Course Code,"[04249] Accounting is defined as “the language of business.” This course investigates the principles of accounting and  business practices, which lead to advanced study in accounting, economics, finance, and computerized "
Economics,2.5 credits ,Elective Grades 9-12 [8807],State Course Code [04201] ,"This course may be used to fulfill the state requirement of 2.5 credits of Financial, Economic, Business, &  Entrepreneurial Literacy. The purpose of this semester course is to provide a foundation for students looking to gain a general  understanding of general economic principles. Topics in this course include"
Entrepreneurship,2.5 credits ,Grades 11-12 [8847],State Course Code [12053] ,"Students may choose to earn college credit for this course through a concurrent enrollment elective  offered in conjunction with the Horn School of Business at the University of Delaware.  PREREQUISITE: One complete year of business courses (either a full year course,"
Marketing II,2.5 credits,Elective Grades 11-12 [8862],State Course Codes [04204] ,"PREREQUISITES: A- in Advanced level (or higher) Math, English, or Social Studies class AND Teacher  Recommendation from teacher of that course. This course may be used to fulfill the state requirement of 2.5 credits of Financial, Economic, Business, &  Entrepreneurial Literacy. The purpose of the AP Macroeconomics course is to give students a"
Advanced Placement (AP) Microeconomics,5 credits ,Elective Grades 11-12 [8861],State Course Codes [04203] ,"PREREQUISITES: A- in Advanced level (or higher) Math, English, or Social Studies class AND Teacher  Recommendation from teacher of that course. This course may be used to fulfill the state requirement of 2.5 credits of Financial, Economic, Business, &  Entrepreneurial Literacy. The purpose of the AP Microeconomics course is to give students a"
Interior Design,2.5 credits ,Elective Grades 9-12 [8033],State Course Code [05999],"Interior Design is a course that offers students the opportunity to experience designing within a space. Students  will learn about the important components of a well-designed room, from traditional to"
Web Design,2.5 credits ,Elective Grades 9-12 [8853],State Course Code [10201],"In this course, students will become familiar with the principles of effective Web page programming and design.  Students will gain knowledge of Web page coding techniques using Hyper Text Markup"
Web Design II: Advanced Page Layout,2.5 credits ,Elective Grades 9-12 [8863],State Course Code [10201] ,PREREQUISITE: Web Design I – Students may take Web II or Web III in any sequence. This course will focus on advanced programming and design issues related to building dynamic Web pages using Dreamweaver software and Cascading Style Sheets. Students will learn how
Web Design III: Animation,2.5 credits ,Elective Grades 9-12 [8893],State Course Code [10203] ,PREREQUISITE: Web Design I – Students may take Web II or Web III in any sequence. This course will focus on the use of the Adobe Creative Cloud suite to create animations for the Web as well as  stand-alone animation projects. We will
Pre-Engineering A,2.5 credits ,Elective Grades 9-12 [5901],State Course Code [21001],"Utilizing the engineering and design method, students will be tasked with solving a vast array of different problems  requiring a broad scope of different technical skills. Throughout the course students"
Pre-Engineering B,2.5 credits ,Elective Grades 9-12 [5902],State Course Code [21001] ,"PREREQUISITE: Pre-engineering A Building upon the different technical skills and problem solving models introduced in Pre-Engineering A, this class  challenges students to dive deeper and become even more proficient in solving"
